label,content
1, 台東國際學伴交流　台日小學視訊相見歡
1,〈玻璃心〉發威！黃明志又拿下「這獎項」　內幕曝光：妙趣橫生
1,《LOL》絕命大戰！DRX最強韌性擊敗T1　Deft最後一舞美夢成真世界冠軍
1,《一步一腳印》改變人口老化的田寮 董事長變身成有機農夫
1,《一步一腳印》養牛推觀光活化小鎮 改變家鄉土庫阿甘
1,《一家團圓》曉萱懷孕演50集沒肚子！辣穿比基尼挨批…吳婉君回應
1,《小美人魚》非裔女星扮「阿凡達」…100%還原！網驚：你贏了
1,《小美人魚》非裔女星扮阿凡達　100%還原
1,《少林足球》是寫實劇？裁判比賽中竟撿到扳手　網笑：星爺先知
1,《水星的魔女》公開GUND-ARM公司宣傳片　尷尬跳舞網笑翻：一定投資
1,《全明星》林志宇終止三連敗！郭泓志罕見感動落淚：我想創造奇蹟
1,《全明星》梅賢治生日奪MVP　8年老友曹佑寧回鍋：他來爭獎盃的
1,《全明星4》張家陞跳遠破大會紀錄！自信霸氣「還有點保守」
1,《披荊2》成團名單揭曉！蘇有朋殺出重圍奪冠　含淚吐心聲
1,《花甲》嚴正嵐產後露面「吐秘婚實情」　爆老公求婚場景：超爛！
1,《阿凡達：水之道》12/16上映　73歲影后返老還童
1,《哈勇家》導演盼宜蘭人進戲院支持 林姿妙允諾全力推廣
1,《英雄聯盟》世界冠軍出爐！Deft生涯首冠
1,《麻辣鮮師》22年了　「萬老師」同框3美勾回憶：主題曲響起
1,《進擊的巨人》最終季Part3主視覺公開！
1,《黑豹2》周邊吸睛！　皇家御用戰機化身爆米花桶、1比1藍牙音響
1,《黑豹2》掀觀影熱潮　刷新11月開映票房紀錄
1,《黑澀會》玉兔生了！平安產下「3800g兒子」　老公報喜：長很像！
1,《新．超人力霸王》加長版經典回歸　 西島秀俊拿「那根」嗨炸
1,《罪後真相》口碑絕讚！陳昊森「壓頭石知田」眼鏡噴飛
1,《蒼蘭訣》月尊現身老家炸串店！　王鶴棣低調拿飲料、粉絲搶拍
1,《暮光之城》狼人結婚了！迎娶交往四年女友　逾百位親友祝賀
1,《誰是被害者2》集結原班人馬　確定2023年開拍
1,《橘中秘》棋局搬上透天厝外牆　網友大讚：屋主就只剩下帥！
1,《機智》10位演員返校同樂　12月交棒《加油喜事》！演員群曝想演出
1,《機智校園》愛雅剛升格人妻　同劇周曉涵突喊：進入婚姻生活
1,《灌籃高手》預計明年1月在台上映　全新聲優陣容曝光　
1,《灌籃高手The First》劇場版倒數　宮城超流暢運球、赤木預告大吼登場
1,「5+n」明上路！單周病例跌破15萬例　戶外口罩鬆綁1條件達標
