label,message
2.1,10年的憂鬱症時好時壞 怎麼辦求幫助尤其是冬季情況更差
2.1,12歲我想確認自己是否憂鬱了覺得自己精神壓力太大了
2.1,13歲我每天都一直想去死啊每次都被父母給罵今天我被打了打的我全是渣
2.1,14網上檢測出重度陰鬱自殘快兩年了不想告訴父母他們只會再度對我發脾氣不知道該怎麼辦
2.1,15歲生活悲觀對什麼也提不起興趣總把死掛在嘴邊覺得離開這個世界對我來說是最好的總覺得自己怕死苟活在世上經常會情緒崩潰
2.1,16歲我是個學生最近越來越孤僻可能是讀的書太憂鬱了吧不太想與人交往人緣也越來越差我真的有點討厭這個社會了
2.1,16歲我幫我朋友諮詢她之前得過中度憂鬱就是去年然後這兩天有點不開心的事就感覺自己好像又要憂鬱症這兩天做什麼都提不起精神來請問我朋友現在這樣該怎麼辦
2.1,16歲男學生最近幾個月異常不順基本幹什麼事都會出錯壓力過大有輕微人格分裂想用死亡來逃避
2.1,17歲心裡就像壓著一塊石頭 在學校雖然會笑但是心裡還是感覺不舒服就是有塊石頭的感覺 有時候在房間一個人哭 不知道為什麼就是想哭 我才十七歲就覺得生活沒希望了 想死可是不敢死
2.1,17歲總是心情不好非常失落非常容易哭哭的時候就感覺世界快毀滅了生活很黑暗不想跟家人接觸感覺一接觸就會有不開心
2.1,18 女 前一分鐘發生的事下一分鐘就忘了大事也忘喜歡發呆我爸說我有老年癡呆症
2.1,18歲每天都感覺心情不好焦躁明明什麼都沒發生感覺自己精神兮兮的
2.1,18歲很久不能真的開心的笑了 有時候就算被什麼逗樂 笑了之後會覺得 我不應該笑
2.1,19歲我總是情緒低落就是高興不起來總是憂愁傷感記不住事思考問題難感覺變笨了不愛運動變懶了不愛說話了總把自己想的什麼用都沒有一無是處我是不是得什麼病了
2.1,19歲總是心裡莫名不知道怎麼感覺什麼都不好了說不出又理不順我要怎麼辦啊
2.1,20歲失眠 活著痛苦 家庭關係處理不好 父母不體會我的感受 我快不行了
2.1,20歲你好我最近心情一直非常憂鬱做事情集中不了注意
2.1,20歲對人生沒有追求沒有感興趣的事物不去找工作也不願意工作只想在家混吃等死每天睡到自然醒有吃有喝就行也不像一般宅在家的人那樣非要玩電腦總之就是各種沒有追求
2.1,21歲我不想活著 活著很麻煩 家庭離異 父母雙方都有人照顧 我不想結婚不想有後代 只想結束自己的生命
2.1,21歲我是不是產後憂鬱了覺得心裡說不定上哪種感覺
2.1,22歲總是莫名其妙的就想哭 自己一個人的時候就感覺委屈 想哭
2.1,23歲在外面人多的時候不會胡思亂想一個人的時候老是容易亂想 想著還會哭  感覺自己像個精神病 哈哈哈 這是怎麼了
2.1,23歲早上一起來情緒就不高上班的途中沒遇到什麼超級讓我高興一整天的事的話來工作的時候就會臉拉老長別人問話也不回答然後覺著心累想到死
2.1,23歲作為一個女人不能生育感到很自卑生活完全沒希望該怎麼辦
2.1,23歲我總是胡思亂想想到自己事業愛情的不順心以及身邊家人親戚每個人的不順不容易然後經常性的想起就流眼淚別人一問眼淚也直流不止好像無法自拔了請老師幫忙輔導
2.1,23歲孤獨感找不到活著的意義有時候很想哭但發洩不出來
2.1,23歲婆婆重男輕女受不了她當面一套 背後一套心裡很壓抑老想哭
2.1,23歲愛胡思亂想缺乏信心做什麼都沒有精神壓抑憂鬱
2.1,23歲憂鬱心情不好對這個世界沒有興趣了家庭不和睦家人對我是空氣
2.1,23歲總會有種深深的孤獨感多愁善感每天晚上都會失眠就是想哭可煩了
2.1,24歲在家帶小孩每天腦袋一片空白感覺要崩潰要瘋了的節奏是什麼原因
2.1,24歲我是個寶媽之前老公找過一次小姐之後老感覺還有什麼事瞞著我每天都胡思亂想感覺自己很壓抑感覺自己得了很嚴重的心理病怎麼辦
2.1,24歲我現在在坐月子寶寶因為身體不適住院治療而我一想到寶寶就會哭根本控制不了而且也睡不著覺嚴重失眠心情非常的煩躁
2.1,24歲這麼晚有專家嗎不習慣出門睡不著覺早上起來非常憂鬱心理悶悶的
2.1,24歲睡眠問題  有點憂鬱  最近吃了睡眠藥感覺左下腹疼痛   但是睡好了  情緒就很好
2.1,24歲壓力大並且有憂鬱傾向精神狀態不好經常困倦頭疼已經影響到我的日常生活和工作求破解方法
2.1,24歲總是莫名的心情煩躁 沒有一個真正想要去做並且感到開心的事情
2.1,25 女 失眠各種藥物和治療方法都無效醫院憂鬱表測出我憂鬱症導致失眠是否心理出了問題
2.1,25歲有焦慮症和憂鬱症怎麼辦有什麼好的辦法去解決對婚姻生活極度不滿自己做了測試嚴重的焦慮和憂鬱症表現
2.1,25歲我現在非常自閉憂鬱什麼也提不起精神不願與人交流覺得他們都太虛偽
2.1,25歲為什麼我總是感覺不開心而且我總覺得我跟人交往有問題我不善於表達自己我覺得自己的性格很怪我很害怕我的孩子受我的影響怎麼辦
2.1,25歲您好考試失敗跟情感失敗還有跟妹妹媽媽關係不好我感覺壓力大最近總失眠不開心也不願意動
2.1,25歲無誘因憂鬱症好難受怎麼辦影響工作我會不會一輩子都這樣然後早晚有一天扛不住
2.1,26歲已婚很相愛自從進入婚姻不停的吵架現在很悲觀對婚姻失望對自己失望有很多次想死的想法
2.1,26歲我是在台北工作近一個月都心情不好也不知道是什麼原因就是想什麼事都覺得沒意義心裡就是有一個疙瘩也不想上班這是怎麼回事啊
2.1,26歲我感覺我有憂鬱症變得不想和人交流老是胡思亂想以前我很開朗的
2.1,26歲感覺像得病了一樣對什麼都失去興趣了需要開導
2.1,26歲憂鬱症該如何治療易怒情緒不穩定喜歡幻想不切實際的東西
2.1,27歲我是兩個孩子的媽媽自從有了2的以後脾氣就越來越暴躁總是覺得煩動不動就發脾氣自己都覺得莫名其妙但就是控制不住這種情況2年多啦
2.1,27歲我是幫朋友問他總是把死放在嘴邊覺得活的沒意思外在又一副嬉皮笑臉愛開玩笑心靜聊天就開始說活的沒意思
2.1,27歲我曾經有輕度憂鬱症通過治療過後已康復4年最近因為情感問題心情低落經常失眠引起頭痛越是頭痛越心慌越失眠我不想再吃藥了我該怎麼辦怎麼可以調節
2.1,27歲經常想死不想吃飯不像動不知道活著有什麼意思很壓抑
2.1,28歲已婚女子女寶寶一枚我和老公感情現在很不穩定我心情總是低落
2.1,28歲我心情總是會莫名的不好總是看不慣我老公容易生氣怎麼辦
2.1,28歲我老婆剖腹產後一直睡不著覺總是胡思亂想心情低落無精打采怎麼辦呢
2.1,28歲每天心情很低落什麼都不想做也不想說話總是想發脾氣想哭我是不是有病了
2.1,28歲注意力不集中記憶力嚴重衰退求藥方
2.1,28歲背叛獅子座男友且回頭對方不原諒因此無法釋懷對生活提不起興趣悲觀消極怎麼辦
2.1,28歲請問下我現在焦慮對什麼都不感興趣沒有慾望心裡不會哭也不會笑但是表情會笑沒有自信這是中度憂鬱症嗎
2.1,28歲醫生您好我經常不開心常很鬱悶對所有的事情都不感興趣我的人生觀也很悲觀經常覺得周圍的人對我都不好我該怎麼樣去做呢
2.1,29 男 半年了自己身體不好總感覺很難受去醫院檢查了又沒有什麼
2.1,29歲一直想死不想出門害怕工作就想死又不敢害怕父母難過活著真累了無生趣
2.1,29歲兩年前得過憂鬱症現在還是感覺沒好徹底
2.1,30歲我有中度至重度憂鬱症加焦慮症我該怎麼辦沒有食慾現在48公斤別人都說我瘦的沒人型我也很為我的身體擔憂我該怎麼辦
2.1,30歲悲傷 沮喪 難過 憂愁 想哭哭不出 失落 一直開心不起來
2.1,32歲心裡很煩看見什麼都煩總是很鬱悶晚上睡眠也不好
2.1,32歲總是感覺心情很低落和孩子在一起也高興不起來我該如何回歸家庭
2.1,35歲我已經有兩月沒出過門了不敢出門怕怕碰見熟人不敢接電話也不想跟任何人聯繫感覺是不是自己心裡極度自卑呢
2.1,35歲最近睡眠不好怎麼辦入睡困難有憂鬱傾向了
2.1,38歲我是2個孩子的媽媽自從有了二寶後情緒一直低落所有照顧兩個孩子的事都是我一個人很累感覺沒人能夠理解我沒人幫我
2.1,38歲憂鬱症心情不好要流眼淚不愛說話有什麼辦法可以開導開導
2.1,43歲工作壓力太大憂鬱了辭去職務無法面對不知如何處理
2.1,Scl90自評檢測總分144分均分16陽性3I這個結果說明有憂鬱強迫症嗎
2.1,Sds測試為重度憂鬱症就真的是重度憂鬱嘛該怎麼辦
2.1,一直有那種就隨時都有那種要是能離開這個世界就清淨了的想法上了高中後就更加明顯了感覺非常煩躁什麼都非常煩我是不是憂鬱了
2.1,一直很痛苦沉浸在過去憂鬱與人無法交往都是這幾天為什麼會短暫地出現感覺自己很傻感覺很放鬆感覺什麼都不重要的感覺
2.1,一直都在失眠而且靜下來就會想一些不開心的事然後心情就大打折扣不知道為什麼就總感覺很壓抑開心不起來現在有兩條路可以選不知道該怎麼辦糾結
2.1,一個人待不住悲傷容易哭情緒低落煩躁不安易怒是什麼狀況
2.1,二十六歲沒有工作沒有朋友家人對我很失望我也自暴自棄感覺一切都太糟糕
2.1,人生不怕走的慢就怕走錯路我已經深刻意識到自己的人生走錯路了現在又非常的迷茫不知道怎麼走下去為此我已經憂鬱好久了這輩子恐怕都高興不起來了
2.1,人生的意義是什麼大學的意義又在哪為什麼感覺自己忙忙碌碌卻什麼都幹不好對現在的自己的狀態極其不滿卻又無能為力
2.1,人沒精神感情淡漠不喜也不悲像個活死人也沒好奇心是什麼病
2.1,人活著為什麼有那麼多痛苦有時候面對痛苦時都找不到活著的意義
2.1,人累心更累我也不知道活著還有什麼意義
2.1,十六歲女生戀愛問題已經憂鬱很久了實在想找人解決能不能幫幫我
2.1,三天睡不著覺經常會哭感覺做什麼都沒有興趣笑不出來感覺自己做什麼都是錯的有過自殘有想死的感覺
2.1,大考失利又重讀一年分不低因為志願沒填好沒有被錄取過去十二年了經常夢見重新考試又坐在教室裡心裡感覺別的同學都比自己混的好所以斷了跟同學的聯繫
2.1,大考失利怎麼辦是不是我就毀了有輕微憂鬱
2.1,大家好我是一位吃了10年藥的憂鬱症病人前兩年好點了基本沒什麼吃藥但是最近又發作了很苦惱這病還能好麼要怎麼做方法才比較正確
2.1,大腦空白反應遲鈍記憶衰退一天頹廢
2.1,女 16 心情不好就想著死討厭所有人脾氣控制不住感覺活著沒意思
2.1,女 各位老師你們好我是女過年27歲了每天不想出門對什麼都沒有興趣看到父母吵架更心煩這種情況兩個多月了醫生說我是憂鬱症諮詢可以解決嗎
2.1,女我48歲了婚姻問題丈夫出軌精神憂鬱時常感覺精神要崩潰了怎麼辦
2.1,女兒22歲嫌自己不漂亮不想出門不想交朋友也不想上班成天亂發脾氣給她講道理她也聽不進去一說話就像很委屈就想哭該怎麼辦求專家指點
2.1,女高一16歲透過網上測試結果為中度憂鬱情緒爆發時有自殘傾向
2.1,小孩一歲但我老愛打她拿她當做發洩的東西我也不想做但是忍不住這樣下去我會瘋掉
2.1,工作不順失戀父母離異覺得人生沒有意思
2.1,工作兩年了不知道為什麼最近心裡很疲憊幹什麼都提不起興趣整個人就像機器一樣沒有感情
2.1,工作賠錢老婆跑了兼職被騙感覺自己快要崩潰
2.1,不知道為什麼我經常感到憂鬱常常對身邊的朋友有意識的排斥和疏離總是覺得什麼都沒意思
2.1,不知道為什麼每天都不快樂一直都快樂不起來該怎麼辦呀
2.1,不知道為什麼高興不起來了憂鬱情緒太重了身體生病了麼怎麼辦很痛苦怎麼辦
2.1,不知道現在什麼情況很壓抑沒辦法控制自己的情緒
2.1,不喜歡與人交流排斥與外界交流常想自己一人在角落裡待著寧可一個人也不願與外界交流心裡經常感到煩躁鬱悶想很多事
2.1,不敢出門一說讓出去就渾身發抖不敢見人感覺所有人都在看他而且看不起他覺得自己天天就是個廢人拖累別人說自己快頂不住啦
2.1,不想上學對學習沒興趣找不到自我沒有方向沒有目標一天無所事事沒有精神心態不好
2.1,不想出門不想找工作覺得全世界的人都是壞人
2.1,不想活了我跟我父母已經很久沒有說過話了她們也不給我錢就這麼讓我在家待著也不關心我每天有沒有吃飯
2.1,不想活了幹什麼都不順惹人厭在家裡被罵工作也沒了
2.1,不想活了覺得人這一生不過就是重複重複
2.1,不想說話感覺工作生活都很無趣莫名其妙的會傷心迷茫無助想哭
2.1,不愛說話 不願意交流 喜歡自己一個人的世界  對事物缺乏興趣和熱情
2.1,不愛說話不知道說什麼好不樂觀每天愁眉苦臉感覺人生沒有意義
2.1,不愛說話不愛出門整天胡思亂想他是不是不喜歡我他在哪了我們之間是不是出問題了
2.1,不管做任何事都不順心覺得自己很沒用也不敢說話總想人早晚都要死也就是時間的問題還不如死了算了活在世上真受罪
2.1,不管幹什麼總覺得累情緒不穩定自卑還有避世或死亡的幻想和想法
2.1,不願意出門思緒太多心情憂鬱做什麼都沒心情看書分心總是不開心難過由於之前考試感情都不順利
